input_row_key,veridion_id,company_name,company_legal_names,main_country,main_country_code,main_region,main_city,revenue,employee_count,year_founded,main_sector,sics_codified_industry,website_url
0,26e22210-93e5-11eb-b997-8dd98d09cf25,New Millennium Network,New Millennium Network Private Limited | MNET Services Private Limited,Pakistan,PK,Sindh,Karachi,311793.0,23.0,2001.0,IT&C Services,Media & Entertainment,https://www.mnet.com.pk/
1,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2operate,2operate A/S.,Denmark,DK,North Denmark Region,Aalborg Municipality,28698964.0,75.0,,IT&C Services,Telecommunication Services,https://www.2operate.com/
2,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,3 Step IT A/S.,Denmark,DK,Capital Region Of Denmark,Gladsaxe Municipality,,,,Finance & Insurance,,http://www.3stepit.dk/?opi=79508299&sa=U&ved=0ahUKEwiKsvSF7tyMAxWo78kDHfZKCtQQ61gIFCgQ&usg=AOvVaw1O2VrP_KM3o5n9XzsuUwLL
3,08f48bc2-72c9-11ec-96d1-1d653dff9d1b,NIFU,,Norway,NO,Oslo,Oslo,1785892.0,8.0,,Other Professional Services,,https://iscy.no/
4,18851138-0c9f-11ec-bde4-478e66fdcca6,We Dig It,We dig it Sweden AB.,Sweden,SE,Örebro County,Örebro,2545712.0,15.0,,Advertising & Marketing,Advertising & Marketing,https://wedigit.se/
5,df61d790-93e4-11eb-aa66-9b8d95e2171b,3Degrees Inc.,3Degrees Inc. | 3Degrees Group Inc.,United States,US,California,San Francisco,,,2010.0,Architecture & Engineering Services,Solar Technology & Project Developers,http://3degreesinc.com/
6,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Group,3 Step IT Sweden AB. | 3 Step IT Singapore Pte Ltd. | 3 Step IT UK Limited,Finland,FI,Uusimaa,Helsinki,111438832.0,600.0,2004.0,IT&C Services,Multiline and Specialty Retailers & Distributors,https://sg.3stepit.com/
7,08330b7d-aeb0-11ef-ac6a-636c4f5076ef,AT RÖRSERVICE,AT Rörservice AB.,Sweden,SE,Stockholm County,Stockholm,3987137.0,25.0,2008.0,Construction,Professional & Commercial Services,https://www.vvshagersten.se/
8,4f44b02e-17aa-11f0-87dc-2b7a69541cf4,ATKEARNEY,,,,,,,,,Finance & Insurance,Software & IT Services,https://atkearney.top/#/
9,272b8711-93e5-11eb-8e19-198fb02d6f96,AALBORG CITY,,Denmark,DK,North Denmark Region,Aalborg,16195217.0,75.0,,Government,Multiline and Specialty Retailers & Distributors,https://aalborgcity.dk/
10,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,,Norway,NO,Oslo,Oslo,,,,Other Professional Services,,https://www.accenture.no/
11,0dabe191-0ca8-11ec-8cf8-f323b148f4ea,Reffo Invest,,Denmark,DK,Region Of Southern Denmark,Odense,310307.0,1.0,,Finance & Insurance,,http://reffoinvest.com/
